time,x_pos,y_pos,velocity,rotation
7.9278,5.5,8.91414,2,1.5708
7.93144,5.5,8.92141,2,1.5708
7.93502,5.5,8.92857,2,1.5708
7.93855,5.5,8.93562,2,1.5708
7.94202,5.5,8.94256,2,1.5708
7.94543,5.5,8.9494,2,1.5708
7.94879,5.5,8.95611,2,1.5708
7.9521,5.5,8.96272,2,1.5708
7.95534,5.5,8.96922,2,1.5708
7.95854,5.5,8.9756,2,1.5708
7.96167,5.5,8.98187,2,1.5708
7.96475,5.5,8.98803,2,1.5708
7.96777,5.5,8.99407,2,1.5708
7.97073,5.5,9,2,1.5708
7.98193,5.49992,9.02239,2,1.32645
7.99296,5.49966,9.04444,2,1.32645
8.00382,5.49925,9.06617,2,1.32645
8.01452,5.49867,9.08757,2,1.32645
8.02507,5.49793,9.10865,2,1.32645
8.03547,5.49704,9.12942,2,1.32645
8.04571,5.49599,9.14988,2,1.32645
8.05581,5.49479,9.17003,2,1.32645
8.06576,5.49344,9.18989,2,1.32645
8.07557,5.49194,9.20945,2,1.32645
8.08524,5.4903,9.22873,2,1.32645
8.09478,5.48852,9.24772,2,1.32645
8.10419,5.4866,9.26644,2,1.32645
8.11346,5.48454,9.28488,2,1.32645
8.12262,5.48235,9.30306,2,1.32645
8.13165,5.48003,9.32097,2,1.32645
8.14056,5.47758,9.33862,2,1.32645
8.14936,5.475,9.35602,2,1.32645
8.15804,5.4723,9.37318,2,1.32645
8.16661,5.46948,9.39009,2,1.32645
8.17508,5.46654,9.40676,2,1.32645
8.18344,5.46348,9.42321,2,1.32645
8.1917,5.46031,9.43942,2,1.32645
8.19986,5.45703,9.45542,2,1.32645
8.20793,5.45364,9.47119,2,1.32645
8.21591,5.45015,9.48676,2,1.32645
8.2238,5.44655,9.50212,2,1.32645
8.2316,5.44285,9.51728,2,1.32645
8.23932,5.43905,9.53224,2,1.32645
8.24695,5.43516,9.54701,2,1.32645
8.25451,5.43117,9.56159,2,1.32645
8.262,5.42709,9.57599,2,1.32645
8.26941,5.42293,9.59022,2,1.32645
8.27675,5.41868,9.60428,2,1.32645
8.28403,5.41435,9.61817,2,1.32645
8.29124,5.40993,9.6319,2,1.32645
8.29839,5.40544,9.64547,2,1.32645
8.30547,5.40087,9.65889,2,1.32645
8.31251,5.39623,9.67217,2,1.32645
8.31949,5.39153,9.68531,2,1.32645
8.32641,5.38675,9.69831,2,1.32645
8.33329,5.38191,9.71118,2,1.32645
8.34012,5.377,9.72393,2,1.32645
8.3469,5.37204,9.73656,2,1.32645
8.35364,5.36702,9.74907,2,1.32645
8.36034,5.36194,9.76147,2,1.32645
8.36701,5.35681,9.77377,2,1.32645
8.37363,5.35163,9.78597,2,1.32645
8.38022,5.3464,9.79807,2,1.32645
8.38679,5.34114,9.81009,2,1.32645
8.39332,5.33582,9.82202,2,1.32645
8.39982,5.33047,9.83387,2,1.32645
8.40629,5.32508,9.84565,2,1.32645
8.41275,5.31966,9.85736,2,1.32645
8.41918,5.3142,9.86901,2,1.32645
8.42559,5.30872,9.8806,2,1.32645
8.43198,5.30321,9.89213,2,1.32645
8.43835,5.29767,9.90361,2,1.32645
8.44471,5.29211,9.91506,2,1.32645
8.45106,5.28654,9.92646,2,1.32645
8.45739,5.28094,9.93783,2,1.32645
8.46372,5.27534,9.94917,2,1.32645
8.47004,5.26972,9.96049,2,1.32645
8.47635,5.26409,9.97179,2,1.32645
8.48266,5.25846,9.98308,2,1.32645
8.48897,5.25282,9.99436,2,1.32645
8.49527,5.24718,10.0056,2,1.32645
8.50158,5.24154,10.0169,2,1.32645
8.50788,5.23591,10.0282,2,1.32645
8.5142,5.23028,10.0395,2,1.32645
8.52051,5.22466,10.0508,2,1.32645
8.52684,5.21906,10.0622,2,1.32645
8.53318,5.21346,10.0735,2,1.32645
8.53952,5.20789,10.0849,2,1.32645
8.54588,5.20233,10.0964,2,1.32645
8.55226,5.19679,10.1079,2,1.32645
8.55865,5.19128,10.1194,2,1.32645
8.56506,5.1858,10.131,2,1.32645
8.57149,5.18034,10.1426,2,1.32645
8.57794,5.17492,10.1543,2,1.32645
8.58442,5.16953,10.1661,2,1.32645
8.59092,5.16418,10.178,2,1.32645
8.59745,5.15886,10.1899,2,1.32645
8.60401,5.15359,10.2019,2,1.32645
8.6106,5.14837,10.214,2,1.32645
8.61723,5.14319,10.2262,2,1.32645
8.62389,5.13806,10.2385,2,1.32645
8.63059,5.13298,10.2509,2,1.32645
8.63734,5.12796,10.2634,2,1.32645
8.64412,5.123,10.2761,2,1.32645
8.65095,5.11809,10.2888,2,1.32645
8.65783,5.11325,10.3017,2,1.32645
8.66475,5.10848,10.3147,2,1.32645
8.67173,5.10377,10.3278,2,1.32645
8.67876,5.09913,10.3411,2,1.32645
8.68585,5.09456,10.3545,2,1.32645
8.693,5.09007,10.3681,2,1.32645
8.70021,5.08566,10.3818,2,1.32645
8.70749,5.08132,10.3957,2,1.32645
8.71483,5.07707,10.4098,2,1.32645
8.72224,5.07291,10.424,2,1.32645
8.72972,5.06883,10.4384,2,1.32645
8.73728,5.06484,10.453,2,1.32645
8.74492,5.06095,10.4678,2,1.32645
8.75264,5.05715,10.4827,2,1.32645
8.76044,5.05345,10.4979,2,1.32645
8.76833,5.04985,10.5132,2,1.32645
8.77631,5.04636,10.5288,2,1.32645
8.78437,5.04297,10.5446,2,1.32645
8.79254,5.03969,10.5606,2,1.32645
8.8008,5.03652,10.5768,2,1.32645
8.80916,5.03346,10.5932,2,1.32645
8.81763,5.03052,10.6099,2,1.32645
8.8262,5.0277,10.6268,2,1.32645
8.83488,5.025,10.644,2,1.32645
8.84368,5.02242,10.6614,2,1.32645
8.85259,5.01997,10.679,2,1.32645
8.86162,5.01765,10.6969,2,1.32645
8.87078,5.01545,10.7151,2,1.32645
8.88005,5.0134,10.7336,2,1.32645
8.88946,5.01148,10.7523,2,1.32645
8.899,5.0097,10.7713,2,1.32645
8.90867,5.00806,10.7905,2,1.32645
8.91848,5.00656,10.8101,2,1.32645
8.92844,5.00521,10.83,2,1.32645
8.93853,5.00401,10.8501,2,1.32645
8.94877,5.00296,10.8706,2,1.32645
8.95917,5.00207,10.8914,2,1.32645
8.96972,5.00133,10.9124,2,1.32645
8.98042,5.00075,10.9338,2,1.32645
8.99128,5.00034,10.9556,2,1.32645
9.00231,5.00008,10.9776,2,1.32645
9.01351,5,11,2,1.32645
9.02522,5.00019,11.0234,2,4.71239
9.03676,5.00074,11.0465,2,4.71239
9.04811,5.00165,11.0692,2,4.71239
9.05929,5.00291,11.0915,2,4.71239
9.0703,5.00453,11.1135,2,4.71239
9.08113,5.00648,11.135,2,4.71239
9.09179,5.00878,11.1562,2,4.71239
9.10229,5.0114,11.1771,2,4.71239
9.11263,5.01435,11.1975,2,4.71239
9.1228,5.01762,11.2176,2,4.71239
9.13282,5.02121,11.2373,2,4.71239
9.14269,5.0251,11.2567,2,4.71239
9.1524,5.02929,11.2757,2,4.71239
9.16197,5.03378,11.2943,2,4.71239
9.17139,5.03855,11.3125,2,4.71239
9.18067,5.04362,11.3303,2,4.71239
9.18981,5.04896,11.3478,2,4.71239
9.19882,5.05457,11.3649,2,4.71239
9.20769,5.06045,11.3817,2,4.71239
9.21643,5.06659,11.398,2,4.71239
9.22504,5.07298,11.414,2,4.71239
9.23353,5.07963,11.4297,2,4.71239
9.2419,5.08651,11.4449,2,4.71239
9.25015,5.09364,11.4598,2,4.71239
9.25828,5.10099,11.4743,2,4.71239
9.2663,5.10857,11.4884,2,4.71239
9.27421,5.11637,11.5022,2,4.71239
9.28202,5.12439,11.5156,2,4.71239
9.28971,5.13261,11.5286,2,4.71239
9.29731,5.14104,11.5413,2,4.71239
